REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX,AGE,TIME_PERIOD,OBS_VALUE
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2017,10.1248959063959
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2021,27.61365577761289
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2024,20.8100487221205
ZAF,South Africa,Used a mobile phone or the internet to pay bills,M,Y_GE15,2017,11.1420220580158
ZAF,South Africa,Used a mobile phone or the internet to pay bills,F,Y_GE15,2017,9.1718384752283
ZAF,South Africa,Used a mobile phone or the internet to pay bills,M,Y_GE15,2021,25.1851342078967
ZAF,South Africa,Used a mobile phone or the internet to pay bills,F,Y_GE15,2021,30.0033571659348
ZAF,South Africa,Used a mobile phone or the internet to pay bills,M,Y_GE15,2024,25.1021585515181
ZAF,South Africa,Used a mobile phone or the internet to pay bills,F,Y_GE15,2024,17.0580866107809
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2017,13.3109458949185
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2017,5.31363847085915
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2021,34.2378523334616
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2021,17.6229077995368
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2024,25.1834142008121
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2024,12.6882275247081
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE25,2017,9.79186284105595
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y15T24,2017,10.9808665665071
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE25,2021,29.8963898699513
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y15T24,2021,20.1124842245559
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE25,2024,23.3173545652016
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y15T24,2024,12.991988441389
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2024,21.11667812278409
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2024,20.508004362660103
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2017,7.56160339424284
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2017,13.3458150308006
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2021,17.050842906690498
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2021,38.4012516765763
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2024,12.9722628110192
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2024,31.6003208300288
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2017,12.794349688120498
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2017,2.79558305924606
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2021,31.3511717728711
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2021,15.3235440730103
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2024,25.3567262517321
ZAF,South Africa,Used a mobile phone or the internet to pay bills,_T,Y_GE15,2024,5.33075872042917
